Crypto,Price,24HrChange,24HrVol,Marketcap
Bitcoin,"$17,064.43",$17.13 B,$326.54 B,$326.54 B
Ethereum,"$1,260.61",$4.26 B,$152.82 B,$152.82 B
Tether,$1.02,$21.01 B,$65.8 B,$65.8 B
BNB,$286.20,$554.09 M,$45.2 B,$45.2 B
USD Coin,$1.00,$1.68 B,$42.78 B,$42.78 B
Binance USD,$1.00,$4.61 B,$22.16 B,$22.16 B
XRP,$0.3827,$580.68 M,$19.05 B,$19.05 B
Dogecoin,$0.08951,$604.22 M,$11.66 B,$11.66 B
Cardano,$0.3084,$161.4 M,$10.49 B,$10.49 B
Polygon,$0.8992,$192.74 M,$7.75 B,$7.75 B
Dai,$1.01,$181.64 M,$5.88 B,$5.88 B
Polkadot,$5.21,$167.87 M,$5.89 B,$5.89 B
Wrapped TRON,$0.05274,"$621,484",$5.36 B,$5.36 B
Litecoin,$75.09,$381.01 M,$5.31 B,$5.31 B
TRON,$0.05256,$152.31 M,$4.84 B,$4.84 B
Shiba Inu,$0.000009005,$135.61 M,$4.85 B,$4.85 B
HEX,$0.02762,$2.32 M,$4.79 B,$4.79 B
Solana,$13.60,$166.1 M,$4.77 B,$4.77 B
Uniswap,$5.93,$65.67 M,$4.42 B,$4.42 B
Lido stETH,"$1,240.96",$9.7 M,$4.33 B,$4.33 B
Avalanche,$12.99,$128.01 M,$3.96 B,$3.96 B
UNUS SED LEO,$3.77,$1.4 M,$3.6 B,$3.6 B
Wrapped Bitcoin,"$17,240.08",$52.3 M,$3.38 B,$3.38 B
Chainlink,$6.74,$174.74 M,$3.36 B,$3.36 B
Cosmos,$9.79,$96.16 M,$2.75 B,$2.75 B
Monero,$148.86,$75.82 M,$2.71 B,$2.71 B
Ethereum Classic,$18.69,$96.17 M,$2.53 B,$2.53 B
Toncoin,$2.01,$44.86 M,$2.46 B,$2.46 B
Stellar,$0.08461,$43.42 M,$2.14 B,$2.14 B
Bitcoin Cash,$105.98,$256.07 M,$2.01 B,$2.01 B
Cronos,$0.06233,$14.11 M,$1.55 B,$1.55 B
ApeCoin,$4.40,$328.27 M,$1.56 B,$1.56 B
Algorand,$0.2187,$48.78 M,$1.54 B,$1.54 B
Filecoin,$4.30,$70.05 M,$1.42 B,$1.42 B
Quant,$117.31,$18.85 M,$1.39 B,$1.39 B
NEAR Protocol,$1.65,$53.51 M,$1.35 B,$1.35 B
VeChain,$0.01931,$28.34 M,$1.36 B,$1.36 B
OKB,$20.59,$15.83 M,$1.24 B,$1.24 B
Hedera,$0.04918,$12.97 M,$1.16 B,$1.16 B
Internet Computer,$4.25,$21.27 M,$1.16 B,$1.16 B
Trust Wallet Token,$2.64,$84.87 M,$1.1 B,$1.1 B
Wrapped BNB,$281.21,$52.47 M,$1.07 B,$1.07 B
EOS,$0.9959,$133.14 M,$1.06 B,$1.06 B
Elrond,$44.75,$19.31 M,$1.05 B,$1.05 B
Frax,$0.9956,$6.45 M,$1.02 B,$1.02 B
Luna Classic,$0.0001834,$54.97 M,$990.86 M,$990.86 M
Flow,$0.9586,$36 M,$971.34 M,$971.34 M
Huobi Token,$6.26,$11.49 M,$959.37 M,$959.37 M
Pax Dollar,$1.00,"$822,991",$947.16 M,$947.16 M
Bitcoin BEP2,"$16,935.18",$2.2 M,$904.36 M,$904.36 M
